,PseudoTime1,PseudoTime2,PseudoTime3
E3585_613,NA,0.76692,NA
E3569_559,NA,NA,0.69925
E4725_32,0.03885,NA,NA
E3080_129,0.1604,NA,NA
E2466_199,NA,NA,0.24812
E2168_150,NA,NA,0.18672
E4697_750,0.9386,NA,NA
E2565_76,NA,0.09398,NA
E4125_653,NA,NA,0.81704
E3400_775,NA,0.96992,NA
E2902_171,0.21303,NA,NA
E1872_167,NA,NA,0.20802
E722_535,0.66917,NA,NA
E1118_2,0.00125,NA,NA
E3948_145,NA,0.18045,NA
E613_456,0.57018,NA,NA
E815_368,NA,NA,0.4599
E4997_604,NA,0.75564,NA
E4620_204,NA,0.25439,NA
E2660_481,NA,0.6015,NA
E67_661,0.82707,NA,NA
E2546_334,NA,0.41729,NA
E786_675,NA,0.84461,NA
E3643_15,NA,0.01754,NA
E3369_47,NA,NA,0.05764
E4274_758,NA,NA,0.94862
E522_147,0.18296,NA,NA
E251_549,0.68672,NA,NA
E4377_31,0.03759,NA,NA
E4868_795,NA,NA,0.99499
E2344_299,NA,NA,0.37343
E1350_606,NA,0.75815,NA
E3217_58,NA,0.07143,NA
E2349_484,NA,0.60526,NA
E951_432,0.5401,NA,NA
E1493_27,0.03258,NA,NA
E2169_453,0.56642,NA,NA
E2775_748,NA,0.93609,NA
E2426_116,0.14411,NA,NA
E4883_337,NA,NA,0.42105
E3966_328,NA,0.40977,NA
E3246_202,NA,0.25188,NA
E426_507,0.63409,NA,NA
E3285_327,NA,NA,0.40852
E245_652,0.81579,NA,NA
E863_724,0.90602,NA,NA
E764_784,NA,NA,0.9812
E2544_574,NA,NA,0.71805
E3272_245,NA,NA,0.30576
E3259_49,0.06015,NA,NA
E1964_369,0.46115,NA,NA
E1549_730,0.91353,NA,NA
E2082_685,NA,NA,0.85714
E182_593,0.74185,NA,NA
E248_600,NA,0.75063,NA
E1386_410,NA,0.51253,NA
E4785_458,0.57268,NA,NA
E860_89,NA,NA,0.11028
E1140_622,0.7782,NA,NA
E2359_370,NA,0.46241,NA
E1123_205,NA,0.25564,NA
E3602_607,0.7594,NA,NA
E2893_752,NA,NA,0.9411
E383_720,NA,NA,0.901
E472_751,NA,NA,0.93985
E2059_410,NA,0.51253,NA
E4602_382,NA,NA,0.47744
E1506_36,0.04386,NA,NA
E3574_129,0.1604,NA,NA
E3720_438,NA,NA,0.54762
E1627_740,NA,0.92607,NA
E935_161,NA,NA,0.2005
E3209_575,NA,NA,0.7193
E3788_733,0.91729,NA,NA
E4092_219,NA,NA,0.27318
E3989_570,0.71303,NA,NA
E4905_678,NA,NA,0.84837
E3618_790,0.98872,NA,NA
E4459_231,NA,NA,0.28822
E4541_766,0.95865,NA,NA
E699_149,0.18546,NA,NA
E3656_708,NA,0.88596,NA
E4870_712,0.89098,NA,NA
E2605_525,NA,NA,0.65664
E1186_665,NA,0.83208,NA
E186_213,NA,0.26566,NA
E578_224,NA,NA,0.27945
E1935_749,NA,0.93734,NA
E2_62,0.07644,NA,NA
E2333_736,NA,0.92105,NA
E989_149,NA,0.18546,NA
E1583_54,NA,NA,0.06642
E810_79,0.09774,NA,NA
E4360_171,0.21303,NA,NA
E2460_19,NA,NA,0.02256
E1212_210,NA,0.2619,NA
E675_427,0.53383,NA,NA
E2903_152,0.18922,NA,NA
E2055_160,NA,NA,0.19925
E431_112,0.1391,NA,NA
E4902_142,NA,NA,0.17669
E2627_662,0.82832,NA,NA
E1339_389,0.48622,NA,NA
E2818_260,0.32456,NA,NA
E1541_250,0.31203,NA,NA
E46_782,0.9787,NA,NA
E256_528,0.6604,NA,NA
E572_767,NA,0.9599,NA
E2767_18,0.0213,NA,NA
E2151_734,0.91855,NA,NA
E3813_632,NA,0.79073,NA
E3590_167,0.20802,NA,NA
E1216_766,0.95865,NA,NA
E48_405,0.50627,NA,NA
E4016_519,0.64912,NA,NA
E688_690,NA,NA,0.86341
E4803_371,0.46366,NA,NA
E2124_360,0.44987,NA,NA
E1594_263,0.32832,NA,NA
E750_531,0.66416,NA,NA
E3723_600,0.75063,NA,NA
E3994_42,NA,0.05138,NA
E3993_742,NA,0.92857,NA
E4798_548,NA,0.68546,NA
E1168_788,NA,NA,0.98622
E3521_749,NA,NA,0.93734
E2422_781,NA,NA,0.97744
E3476_779,0.97494,NA,NA
E4484_179,0.22306,NA,NA
E2439_784,0.9812,NA,NA
E617_694,NA,NA,0.86842
E2239_101,0.12531,NA,NA
E3220_396,0.49499,NA,NA
E1065_436,NA,0.54511,NA
E50_772,NA,0.96617,NA
E2317_186,NA,NA,0.23183
E3612_32,0.03885,NA,NA
E2395_378,0.47243,NA,NA
E1827_136,NA,NA,0.16917
E4272_453,0.56642,NA,NA
E4163_50,NA,NA,0.0614
E3372_724,NA,NA,0.90602
E3960_534,NA,NA,0.66792
E4077_111,0.13784,NA,NA
E4326_133,0.16541,NA,NA
E1929_763,0.95489,NA,NA
E3353_639,NA,0.7995,NA
E1000_408,NA,0.51003,NA
E3456_342,0.42732,NA,NA
E2573_415,NA,NA,0.5188
E2839_507,0.63409,NA,NA
E3854_407,NA,0.50877,NA
E521_199,NA,0.24812,NA
E4823_678,NA,NA,0.84837
E3155_701,0.87719,NA,NA
E2744_279,NA,0.34837,NA
E2652_72,NA,0.08897,NA
E3118_162,0.20175,NA,NA
E1931_124,NA,0.15414,NA
E2524_66,NA,NA,0.08145
E2991_278,0.34712,NA,NA
E851_44,0.05388,NA,NA
E3913_763,0.95489,NA,NA
E4146_686,NA,NA,0.8584
E195_327,NA,0.40852,NA
E3609_779,NA,NA,0.97494
E4315_208,NA,NA,0.2594
E2102_98,0.12155,NA,NA
E57_604,0.75564,NA,NA
E4494_209,NA,NA,0.26065
E1585_530,NA,NA,0.66291
E2334_702,0.87845,NA,NA
E2653_420,0.52506,NA,NA
E3709_537,0.67168,NA,NA
E3926_618,NA,0.77318,NA
E4637_588,0.73559,NA,NA
E3347_627,0.78446,NA,NA
E1514_798,NA,NA,0.99875
E4757_693,0.86717,NA,NA
E1918_609,NA,0.7619,NA
E2213_234,NA,NA,0.29198
E2406_160,0.19925,NA,NA
E4204_18,NA,NA,0.0213
E721_7,NA,NA,0.00752
E2926_92,NA,0.11404,NA
E2332_221,0.27569,NA,NA
E4007_785,NA,NA,0.98246
E2989_133,0.16541,NA,NA
E4238_651,0.81454,NA,NA
E1553_318,0.39724,NA,NA
E3484_253,0.31579,NA,NA
E1384_646,0.80827,NA,NA
E4510_735,0.9198,NA,NA
E2037_109,NA,0.13534,NA
E1347_61,NA,NA,0.07519
E2967_98,0.12155,NA,NA
E1959_298,NA,0.37218,NA
E2392_344,0.42982,NA,NA
E4736_793,0.99248,NA,NA
E2427_244,NA,NA,0.30451
E4881_790,NA,NA,0.98872
E2939_27,0.03258,NA,NA
E1650_774,NA,NA,0.96867
E1005_92,NA,0.11404,NA
E151_345,0.43108,NA,NA
E4057_795,0.99499,NA,NA
E2103_461,0.57644,NA,NA
E2890_10,NA,NA,0.01128
E1120_470,NA,NA,0.58772
E1945_721,NA,NA,0.90226
E3277_304,NA,0.3797,NA
E3550_283,NA,NA,0.35338
E1297_604,NA,0.75564,NA
E3593_11,0.01253,NA,NA
E115_221,0.27569,NA,NA
E2844_75,0.09273,NA,NA
E2929_49,0.06015,NA,NA
E4980_452,NA,0.56516,NA
E1555_508,0.63534,NA,NA
E1164_279,0.34837,NA,NA
E3827_552,0.69048,NA,NA
E3840_277,NA,NA,0.34586
E677_638,NA,0.79825,NA
E745_121,0.15038,NA,NA
E3536_85,NA,NA,0.10526
E3582_552,NA,NA,0.69048
E3626_289,NA,0.3609,NA
E3388_269,NA,0.33584,NA
E1368_392,NA,NA,0.48997
E3526_162,NA,0.20175,NA
E1335_734,0.91855,NA,NA
E4488_434,0.54261,NA,NA
E568_477,NA,0.59649,NA
E3944_19,NA,NA,0.02256
E2803_304,0.3797,NA,NA
E4442_627,0.78446,NA,NA
E4471_331,NA,0.41353,NA
E2741_361,0.45113,NA,NA
E114_674,NA,NA,0.84336
E1500_781,0.97744,NA,NA
E3441_191,NA,NA,0.2381
E2486_116,0.14411,NA,NA
E1731_568,0.71053,NA,NA
E3658_317,0.39599,NA,NA
E770_466,0.58271,NA,NA
E3337_592,0.7406,NA,NA
E2367_510,0.63784,NA,NA
E3764_559,0.69925,NA,NA
E3853_530,0.66291,NA,NA
E365_509,NA,0.63659,NA
E1958_745,0.93233,NA,NA
E2434_412,0.51504,NA,NA
E3925_15,0.01754,NA,NA
E597_289,NA,NA,0.3609
E4649_8,NA,NA,0.00877
E4122_397,NA,NA,0.49624
E4468_617,0.77193,NA,NA
E3785_499,NA,0.62406,NA
E4759_540,0.67544,NA,NA
E4174_434,0.54261,NA,NA
E689_671,NA,NA,0.8396
E2118_319,NA,0.3985,NA
E1146_74,NA,NA,0.09148
E3316_593,0.74185,NA,NA
E1417_770,NA,NA,0.96366
E3228_504,NA,0.63033,NA
E2528_567,0.70927,NA,NA
E167_67,0.08271,NA,NA
E4882_403,NA,NA,0.50376
E4710_187,0.23308,NA,NA
E4422_520,0.65038,NA,NA
E1122_455,NA,NA,0.56892
E4476_395,NA,NA,0.49373
E4989_38,0.04637,NA,NA
E2442_310,0.38722,NA,NA
E3158_408,NA,NA,0.51003
E2678_624,NA,0.7807,NA
E319_605,0.75689,NA,NA
E3006_542,NA,0.67794,NA
E2612_105,NA,NA,0.13033
E3332_418,NA,NA,0.52256
E3669_600,0.75063,NA,NA
E3529_790,NA,NA,0.98872
E1105_76,0.09398,NA,NA
E4480_456,0.57018,NA,NA
E2041_762,NA,NA,0.95363
E1519_19,NA,NA,0.02256
E1032_512,0.64035,NA,NA
E1849_290,NA,0.36216,NA
E2152_330,NA,NA,0.41228
E4841_458,NA,NA,0.57268
E77_594,NA,0.74311,NA
E739_661,NA,0.82707,NA
E3727_754,NA,0.94361,NA
E4885_712,NA,NA,0.89098
E534_482,0.60276,NA,NA
E4537_118,NA,0.14662,NA
E2662_146,0.1817,NA,NA
E3351_247,0.30827,NA,NA
E4148_520,NA,0.65038,NA
E725_694,0.86842,NA,NA
E3262_100,NA,NA,0.12406
E3416_93,0.11529,NA,NA
E4203_242,0.30201,NA,NA
E788_54,0.06642,NA,NA
E4389_198,0.24687,NA,NA
E1375_326,NA,NA,0.40727
E3166_368,0.4599,NA,NA
E3980_44,NA,NA,0.05388
E4739_730,NA,NA,0.91353
E408_86,0.10652,NA,NA
E2228_422,NA,0.52757,NA
E2188_449,NA,NA,0.5614
E3430_195,NA,NA,0.24311
E2285_265,NA,0.33083,NA
E550_242,NA,NA,0.30201
E3036_449,NA,0.5614,NA
E3253_782,NA,NA,0.9787
E4970_518,NA,0.64787,NA
E771_79,NA,NA,0.09774
E2066_571,0.71429,NA,NA
E1786_91,NA,0.11278,NA
E3121_791,NA,NA,0.98997
E4121_231,NA,0.28822,NA
E4429_84,NA,0.10401,NA
E1501_104,NA,0.12907,NA
E1784_191,NA,NA,0.2381
E2567_61,NA,NA,0.07519
E4614_784,0.9812,NA,NA
E4734_546,0.68296,NA,NA
E516_105,NA,NA,0.13033
E546_151,NA,NA,0.18797
E2189_446,0.55764,NA,NA
E882_606,0.75815,NA,NA
E576_706,0.88346,NA,NA
E1782_108,0.13409,NA,NA
E2453_655,NA,0.81955,NA
